"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Kattappana","Coffee","Other","15/01/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","16/01/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","17/01/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","18/01/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","19/01/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","20/01/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","24/01/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","25/01/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","26/01/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","29/01/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","30/01/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","31/01/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","01/02/2018","11500","11500","11500"
"Kerala","Idukki","Kattappana","Coffee","Other","02/02/2018","11300","11300","11300"
"Kerala","Idukki","Kattappana","Coffee","Other","03/02/2018","11400","11400","11400"
"Kerala","Idukki","Kattappana","Coffee","Other","09/02/2018","11000","11700","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","10/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","12/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","13/02/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","14/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","15/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","16/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","17/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","19/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","20/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","21/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","22/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","23/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","24/02/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","28/02/2018","10800","10800","10800"
"Kerala","Idukki","Kattappana","Coffee","Other","01/03/2018","10800","10800","10800"
"Kerala","Idukki","Kattappana","Coffee","Other","02/03/2018","10800","10800","10800"
"Kerala","Idukki","Kattappana","Coffee","Other","09/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","10/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","12/03/2018","10500","10500","10500"
"Kerala","Idukki","Kattappana","Coffee","Other","13/03/2018","10500","10500","10500"
"Kerala","Idukki","Kattappana","Coffee","Other","15/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","16/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","17/03/2018","10700","10700","10700"
"Kerala","Idukki","Kattappana","Coffee","Other","21/03/2018","10700","10700","10700"
"Kerala","Idukki","Kattappana","Coffee","Other","22/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","23/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","27/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","28/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","30/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","31/03/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","07/04/2018","10700","10700","10700"
"Kerala","Idukki","Kattappana","Coffee","Other","17/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","18/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","19/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","20/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","21/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","30/04/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","01/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","02/05/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","03/05/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","05/05/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","14/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","15/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","16/05/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","17/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","18/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","21/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","22/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","23/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","24/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","25/05/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","26/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","28/05/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","02/06/2018","11200","11200","11200"
"Kerala","Idukki","Kattappana","Coffee","Other","16/06/2018","11000","11000","11000"
"Kerala","Idukki","Kattappana","Coffee","Other","06/07/2018","12000","12000","12000"
"Kerala","Idukki","Kattappana","Coffee","Other","07/07/2018","12000","12000","12000"
"Kerala","Idukki","Kattappana","Coffee","Other","09/07/2018","12000","12000","12000"
"Kerala","Idukki","Kattappana","Coffee","Other","28/07/2018","12000","12000","12000"
"Kerala","Idukki","Kattappana","Coffee","Other","21/08/2018","11600","11600","11600"
"Kerala","Idukki","Kattappana","Coffee","Other","15/09/2018","11600","11600","11600"
"Kerala","Idukki","Kattappana","Coffee","Other","22/09/2018","11600","11600","11600"
"Kerala","Idukki","Kattappana","Coffee","Other","29/09/2018","10600","10600","10600"
"Kerala","Idukki","Kattappana","Coffee","Other","27/10/2018","12700","12700","12700"
"Kerala","Idukki","Kattappana","Coffee","Other","29/10/2018","12500","12500","12500"
"Kerala","Idukki","Kattappana","Coffee","Other","30/10/2018","12700","12700","12700"
"Kerala","Idukki","Kattappana","Coffee","Other","31/10/2018","12600","12600","12600"
"Kerala","Idukki","Kattappana","Coffee","Other","01/11/2018","12700","12700","12700"
"Kerala","Idukki","Kattappana","Coffee","Other","02/11/2018","12700","12700","12700"
"Kerala","Idukki","Kattappana","Coffee","Other","03/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","05/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","06/11/2018","13500","13500","13500"
"Kerala","Idukki","Kattappana","Coffee","Other","07/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","10/11/2018","11400","11400","11400"
"Kerala","Idukki","Kattappana","Coffee","Other","15/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","17/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","19/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","21/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","22/11/2018","13200","13200","13200"
"Kerala","Idukki","Kattappana","Coffee","Other","23/11/2018","13200","13500","13200"
"Kerala","Idukki","Kattappana","Coffee","Other","24/11/2018","12000","12500","12500"
"Kerala","Idukki","Kattappana","Coffee","Other","26/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","27/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","28/11/2018","14000","14000","14000"
"Kerala","Idukki","Kattappana","Coffee","Other","29/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","30/11/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","01/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","03/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","04/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","05/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","06/12/2018","13500","13500","13500"
"Kerala","Idukki","Kattappana","Coffee","Other","07/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","08/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","10/12/2018","13200","13200","13200"
"Kerala","Idukki","Kattappana","Coffee","Other","11/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","12/12/2018","13000","13000","13000"
"Kerala","Idukki","Kattappana","Coffee","Other","13/12/2018","12600","12600","12600"
"Kerala","Idukki","Kattappana","Coffee","Other","17/12/2018","12800","12800","12800"
"Kerala","Idukki","Kattappana","Coffee","Other","20/12/2018","12700","12700","12700"
"Kerala","Idukki","Kattappana","Coffee","Other","22/12/2018","12600","13000","12600"
"Kerala","Idukki","Kattappana","Coffee","Other","24/12/2018","12600","13000","12600"
