"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Adimali","Coffee","Other","26/11/2013","5400","5600","5400"
"Kerala","Idukki","Adimali","Coffee","Other","29/11/2013","5400","5600","5400"
"Kerala","Idukki","Adimali","Coffee","Other","10/12/2013","5400","6000","5800"
"Kerala","Idukki","Adimali","Coffee","Other","13/12/2013","5500","6500","6000"
"Kerala","Idukki","Adimali","Coffee","Other","17/12/2013","5000","5800","5500"
"Kerala","Idukki","Adimali","Coffee","Other","20/12/2013","5400","6000","5800"
"Kerala","Idukki","Adimali","Coffee","Other","24/12/2013","5400","6000","5800"
"Kerala","Idukki","Adimali","Coffee","Other","27/12/2013","5500","6500","6000"
"Kerala","Idukki","Adimali","Coffee","Other","31/12/2013","5500","6500","6000"
"Kerala","Idukki","Kattappana","Coffee","Other","23/11/2013","9600","9600","9600"
"Kerala","Idukki","Kattappana","Coffee","Other","30/11/2013","9600","9600","9600"
"Kerala","Idukki","Kattappana","Coffee","Other","07/12/2013","10000","10000","10000"
"Kerala","Idukki","Kattappana","Coffee","Other","14/12/2013","10000","10000","10000"
"Kerala","Idukki","Kattappana","Coffee","Other","28/12/2013","10300","10300","10300"
"Kerala","Idukki","Thodupuzha","Coffee","Other","23/11/2013","54500","55500","55000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/11/2013","4800","5800","5300"
"Kerala","Idukki","Thodupuzha","Coffee","Other","30/11/2013","4900","5900","5400"
"Kerala","Idukki","Thodupuzha","Coffee","Other","07/12/2013","6000","7000","6500"
"Kerala","Idukki","Thodupuzha","Coffee","Other","11/12/2013","5500","6500","6000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","14/12/2013","5500","6500","6000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","18/12/2013","5500","6500","6000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","23/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","24/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","26/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","28/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","30/12/2013","5700","6700","6200"
"Kerala","Idukki","Thodupuzha","Coffee","Other","31/12/2013","5700","6700","6200"
"Kerala","Malappuram","Manjeri","Coffee","Other","01/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","02/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","03/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","04/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","05/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","07/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","08/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","09/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","10/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","11/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","14/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","15/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","16/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","17/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","18/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","19/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","21/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","22/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","23/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","24/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","25/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","28/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","29/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","30/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","31/01/2013","12500","14000","14000"
"Kerala","Malappuram","Manjeri","Coffee","Other","01/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","02/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","04/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","05/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","06/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","07/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","08/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","11/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","12/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","13/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","14/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","15/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","16/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","18/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","19/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","22/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","23/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","25/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","26/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","27/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","28/02/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","01/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","02/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","04/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","05/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","06/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","07/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","08/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","09/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","11/03/2013","13000","15500","14500"
"Kerala","Malappuram","Manjeri","Coffee","Other","12/03/2013","13000","15500","14500"
