"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Adimali","Coffee","Other","01/01/2016","6700","7600","7400"
"Kerala","Idukki","Adimali","Coffee","Other","05/01/2016","6800","7800","7600"
"Kerala","Idukki","Adimali","Coffee","Other","12/01/2016","7000","8300","8000"
"Kerala","Idukki","Adimali","Coffee","Other","19/01/2016","7200","8400","8200"
"Kerala","Idukki","Adimali","Coffee","Other","29/01/2016","5000","6000","5500"
"Kerala","Idukki","Adimali","Coffee","Other","02/02/2016","5100","6100","5700"
"Kerala","Idukki","Adimali","Coffee","Other","05/02/2016","5200","6200","5800"
"Kerala","Idukki","Adimali","Coffee","Other","09/02/2016","5300","6100","5600"
"Kerala","Idukki","Adimali","Coffee","Other","12/02/2016","5400","6200","5800"
"Kerala","Idukki","Adimali","Coffee","Other","19/02/2016","5300","6000","5500"
"Kerala","Idukki","Adimali","Coffee","Other","23/02/2016","5200","5900","5500"
"Kerala","Idukki","Adimali","Coffee","Other","26/02/2016","5300","6000","5800"
"Kerala","Idukki","Adimali","Coffee","Other","01/03/2016","5400","6100","5600"
"Kerala","Idukki","Adimali","Coffee","Other","04/03/2016","5500","6200","5800"
"Kerala","Idukki","Adimali","Coffee","Other","08/03/2016","5400","6100","5700"
"Kerala","Idukki","Adimali","Coffee","Other","11/03/2016","5200","6000","5400"
"Kerala","Idukki","Adimali","Coffee","Other","15/03/2016","5300","6100","5700"
"Kerala","Idukki","Adimali","Coffee","Other","18/03/2016","5400","6200","5800"
"Kerala","Idukki","Adimali","Coffee","Other","22/03/2016","5300","6000","5600"
"Kerala","Idukki","Adimali","Coffee","Other","29/03/2016","5400","6100","5800"
"Kerala","Idukki","Adimali","Coffee","Other","01/04/2016","5300","5900","5600"
"Kerala","Idukki","Adimali","Coffee","Other","05/04/2016","5400","6000","5700"
"Kerala","Idukki","Adimali","Coffee","Other","08/04/2016","5500","6100","5800"
"Kerala","Idukki","Adimali","Coffee","Other","15/04/2016","5400","6000","5700"
"Kerala","Idukki","Adimali","Coffee","Other","22/04/2016","5300","6100","5500"
"Kerala","Idukki","Adimali","Coffee","Other","26/04/2016","5400","6000","5700"
"Kerala","Idukki","Adimali","Coffee","Other","29/04/2016","5600","6300","6000"
"Kerala","Idukki","Adimali","Coffee","Other","03/05/2016","5700","6400","6000"
"Kerala","Idukki","Adimali","Coffee","Other","06/05/2016","5700","6400","6200"
"Kerala","Idukki","Adimali","Coffee","Other","13/05/2016","5800","6300","6000"
"Kerala","Idukki","Adimali","Coffee","Other","17/05/2016","5500","6000","5700"
"Kerala","Idukki","Adimali","Coffee","Other","20/05/2016","5600","6100","5800"
"Kerala","Idukki","Adimali","Coffee","Other","24/05/2016","5700","6200","5800"
"Kerala","Idukki","Adimali","Coffee","Other","27/05/2016","5300","5900","5500"
"Kerala","Idukki","Adimali","Coffee","Other","31/05/2016","5100","5800","5300"
"Kerala","Idukki","Adimali","Coffee","Other","03/06/2016","6000","6500","6300"
"Kerala","Idukki","Adimali","Coffee","Other","07/06/2016","5900","6400","6200"
"Kerala","Idukki","Adimali","Coffee","Other","10/06/2016","5800","6300","6000"
"Kerala","Idukki","Adimali","Coffee","Other","14/06/2016","5900","6400","6200"
"Kerala","Idukki","Adimali","Coffee","Other","17/06/2016","5700","6300","5900"
"Kerala","Idukki","Adimali","Coffee","Other","24/06/2016","5900","6500","6200"
"Kerala","Idukki","Adimali","Coffee","Other","28/06/2016","5900","6500","6100"
"Kerala","Idukki","Adimali","Coffee","Other","01/07/2016","6000","6600","6300"
"Kerala","Idukki","Adimali","Coffee","Other","08/07/2016","6200","6900","6700"
"Kerala","Idukki","Adimali","Coffee","Other","12/07/2016","6100","6800","6400"
